INVENTORY_ID,LOCATION_,SHOP,DESCRIPTION,SYSTEM_PAR,PACK,SIZE,MEASUREMENT,UOM,CASE_,EA,LB,OZ,BAG,GAL,TRAY,SLEEVES,ON_HAND,OPEN_ORDERS,ADJUSTED_PAR,ORDER_,TOTAL_CASE
DRY0045,DRY STORAGE,PANERA BREAD,BOTTLE EMPTY 20 CT (FOR CTR TEA & LEMONADE),2,1,20,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0046,DRY STORAGE,PANERA BREAD,BUBBLER STRAWBERRY LEMON MINT  ENERGY,3,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0047,DRY STORAGE,PANERA BREAD,BUBBLER MANGO YUZU CITRUS ENERGY,3,4,64,OZ ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0048,DRY STORAGE,PANERA BREAD,BUBBLER FUJI APPLE CRANBERRY ENERGY,3,4,64,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0049,DRY STORAGE,PANERA BREAD,LID 1.5 OZ DRESSING,0.5,24,100,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0050,DRY STORAGE,PANERA BREAD,DUBL SHIELD THERMAL WRAP,3,1,1000,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0051,DRY STORAGE,PANERA BREAD,CUP 1.5 OZ DRESSING,0.5,1,2500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0052,DRY STORAGE,PANERA BREAD,INSERT PAPER HOT COLD DIVIDER FOR LUNCH BOX,0,1,500,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0053,DRY STORAGE,PANERA BREAD,BAG PORTION BLUE,0,1,2000,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0054,DRY STORAGE,PANERA BREAD,STIRRER BAMBOO UNWRPD 7 IN (TEST),0.5,10,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0055,DRY STORAGE,PANERA BREAD,BAG SANDWICH WAX 5X8 DELUXE,2,1,2000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0056,DRY STORAGE,PANERA BREAD,BOWL ROUND CLEAR 64 OZ,2,1,50,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0057,DRY STORAGE,PANERA BREAD,LID FRUIT 40 & 64 OZ,1,1,100,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0058,DRY STORAGE,PANERA BREAD,STABILIZER TO GO SOUP,0.5,1,720,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0059,DRY STORAGE,PANERA BREAD,SYRUP CHOC BTERSWT,1,12,2.75,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0060,DRY STORAGE,PANERA BREAD,FILTER COFFEE FETCO BREWER 15X5,1.5,2,250,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0061,DRY STORAGE,PANERA BREAD,PLUG HOT BEV MOTHER BREAD,1,8,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0062,DRY STORAGE,PANERA BREAD,STIRRER WOOD COFFEE WRPD 7.5,1,10,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0063,DRY STORAGE,PANERA BREAD,PICK FRILL 4 IN,0.5,10,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0064,DRY STORAGE,PANERA BREAD,TEA ICED BLND BLK FRAC PK,1,32,3.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0065,DRY STORAGE,PANERA BREAD,COFFEE PREGROUND HAZELNUT,2,138,2.75,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0066,DRY STORAGE,PANERA BREAD,COFFEE PREGRIYBD DECAF,0.56,98,3.7,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0067,DRY STORAGE,PANERA BREAD,SYRUP CARAMEL PREM NO HFCS,1,12,2.75,LB ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
DRY0068,DRY STORAGE,PANERA BREAD,CHIP POTATO PANERA FDF,7,72,1,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0001,OFFICE,PANERA BREAD,DISPOSABLE MASK,1,1,50,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0002,OFFICE,PANERA BREAD,PAPER COPY WHITE 8.5 X 11,1,10,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0003,OFFICE,PANERA BREAD,UNIFORM CAP DENIM PNRA,2,1,12,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0004,OFFICE,PANERA BREAD,UNIFORM CAP KHAKI PNRA,0.5,1,12,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0005,OFFICE,PANERA BREAD,UNIFORM CAP ORANGE PNRA-TRAINER,0.5,1,4,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF0006,OFFICE,PANERA BREAD,REUSABLE MASKS,0,1,25,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0001,REGISTER,PANERA BREAD,CUP 20 OZ PAPER HOT 2C,1,1,800,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0002,REGISTER,PANERA BREAD,FILM PVC ROLL 18 X 2000 FT,1,1,1,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0003,REGISTER,PANERA BREAD,CUP 16 OZ PAPER SSP,2,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0004,REGISTER,PANERA BREAD,CUP 12 OZ PAPER SSP,2,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0005,REGISTER,PANERA BREAD,BAG COOKIE WINDOW STL PARK MN,2,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0006,REGISTER,PANERA BREAD,TWIST TIE,0,1,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0007,REGISTER,PANERA BREAD,Bag Pastry - Test,1,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0008,REGISTER,PANERA BREAD,CARRIER 4 CUP LARGE,3,1,300,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0009,REGISTER,PANERA BREAD,CUP 9 OZ COLD PNRA,1,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0010,REGISTER,PANERA BREAD,BOX PASTRY SINGLE SERVE W/WINDOW,1,1,150,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0011,REGISTER,PANERA BREAD,CARTON BAGEL PACK,0.5,1,110,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0012,REGISTER,PANERA BREAD,TISSUE BAKERY 5.25X10.75,0.5,10,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0013,REGISTER,PANERA BREAD,BAG COOKIE CLEAR SOFT BOTTOM,0.5,1,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0014,REGISTER,PANERA BREAD,BAG LARGE BREAD,1,1,1000,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0015,REGISTER,PANERA BREAD,BOX BAKERY 8X8,0.5,1,200,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0016,REGISTER,PANERA BREAD,BOX BAKERY 11.25X11.25X1.5 BROWN GREEN,1,1,100,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0017,REGISTER,PANERA BREAD,TIE TWIST BREAD BAGS,0.25,1,2000,EA,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
REG0018,REGISTER,PANERA BREAD,TAPE REGISTER THERMAL 80MM X 290FT,1,1,50,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0001,NEW ITEMS,PANERA BREAD,DOUGH CHOCOLATE CROISSANT,1,84,3.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0002,NEW ITEMS,PANERA BREAD,STRAW PAPER 7.75' WRAPPED,1,12,500,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0003,NEW ITEMS,PANERA BREAD,BOX FLATBREAD KRAFT,1,1,125,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0004,NEW ITEMS,PANERA BREAD,PEPPERONCINI ALL NATURAL WHOLE GREEK,1,4,127,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0005,NEW ITEMS,PANERA BREAD,DOUCH PECAN BRAID,2,80,3.5,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0006,NEW ITEMS,PANERA BREAD,COFFEE PREGROUND DARK ROAST,2,100,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0007,NEW ITEMS,PANERA BREAD,COFFEE PREGROUND LIGHT ROAST,2,100,3,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0008,NEW ITEMS,PANERA BREAD,SOUP CHICKEN TIKKA MASALA,1,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW0009,NEW ITEMS,PANERA BREAD,CLEANER COFFEE EQUIP DIPITXP,0,6,2.33,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0001,MISC,PANERA BREAD,SALT EVAP FOOD GRADE IODIZE,0,1,25,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0002,MISC,PANERA BREAD,Bag Carryout 1/8th barrel - test,1,1,500,EA,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0003,MISC,PANERA BREAD,Bag Paper 12# Carryout Bag - Test,2,1,1000,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0004,MISC,PANERA BREAD,SLEEVE PAPER COFFEE PANERA,1,1,1380,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0005,MISC,PANERA BREAD,Z- GEL COLOR PINK ALL NAT (FDF),1,1,2,OZ,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0006,MISC,PANERA BREAD,Z-GEL COLOR YELLOW ALL NAT (FDF),1,1,2,OZ,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0007,MISC,PANERA BREAD,DRESSING POPPYSEED,1,4,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0008,MISC,PANERA BREAD,SOUP MEXICAN STREET CORN CHOWDER,2,4,8,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0009,MISC,PANERA BREAD,DAYDOT 1 IN. MONDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0010,MISC,PANERA BREAD,DAYDOT 1 IN. TUESDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0011,MISC,PANERA BREAD,DAYDOT 1 IN. WEDNESDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0012,MISC,PANERA BREAD,DAYDOT 1 IN. THURSDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0013,MISC,PANERA BREAD,DAYDOT 1 IN. FRIDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0014,MISC,PANERA BREAD,DAYDOT 1 IN. SATURDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0015,MISC,PANERA BREAD,DAYDOT 1 IN. SUNDAY,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0016,MISC,PANERA BREAD,CIRCLE PASTRY RING WHITE,0.25,100,10,IN,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0017,MISC,PANERA BREAD,BAG COOKIE WINDOW,0,1,1000,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0018,MISC,PANERA BREAD,LINER TRASH BLUE RECYCLE,0,1,100,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0019,MISC,PANERA BREAD,FILTER COFFEE/TEA AMW BREWER 14X6,1,2,250,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0020,MISC,PANERA BREAD,BOX HOT SANDWICH FULL 6X9 PULP CONT,0,1,300,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0021,MISC,PANERA BREAD,LID HOT SANDWICH FULL 6X9 PULP CONT,0,1,300,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0022,MISC,PANERA BREAD,HOT N COLD PAK 5.75X7.5X1.25,0,1,12,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0023,MISC,PANERA BREAD,NUTMEG GROUND,0,1,1,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0024,MISC,PANERA BREAD,LABEL USE FIRST,0,1,1,ROLL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0025,MISC,PANERA BREAD,SPICE CINNAMON GROUND,1,1,18,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0026,MISC,PANERA BREAD,100% PURE CANOLA OIL,0.01,6,1,GAL,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0027,MISC,PANERA BREAD,LABEL WHITE CIRCLE ,0,1,1,ROLL,EA,0,0,0,0,0,0,0,0,0,0,0,0,0
MSC0028,MISC,PANERA BREAD,BOX BAKERY 9.25X9.25X4 SHORT LID,0,1,100,CT ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
